ABX.TO,AAPL,HSBC,MSFT,JPM,LLY,MA,META,UNH,JNJ,SHEL,AZN,ABT
22.670000076293945,179.3000030517578,28.780000686645508,334.6499938964844,157.94000244140625,275.2799987792969,346.3500061035156,341.6600036621094,494.3800048828125,171.13999938964844,42.83000183105469,55.720001220703125,135.55999755859375
23.56999969482422,172.25999450683594,29.670000076293945,324.8999938964844,160.41000366210938,279.0400085449219,352.9200134277344,334.8999938964844,492.8599853515625,173.00999450683594,42.86000061035156,57.09000015258789,136.08999633789062
23.719999313354492,171.13999938964844,29.299999237060547,323.79998779296875,156.75999450683594,267.4200134277344,349.30999755859375,333.7900085449219,487.1199951171875,168.22999572753906,42.11000061035156,56.02000045776367,137.11000061035156
23.729999542236328,169.75,29.290000915527344,319.9100036621094,153.94000244140625,263.4800109863281,337.0199890136719,325.45001220703125,483.7300109863281,167.75,41.93000030517578,56.560001373291016,134.97999572753906
23.770000457763672,172.99000549316406,29.360000610351562,327.2900085449219,156.08999633789062,264.8800048828125,350.739990234375,334.20001220703125,487.2099914550781,167.2100067138672,43.04999923706055,56.939998626708984,135.27000427246094
23.799999237060547,175.63999938964844,29.600000381469727,333.20001220703125,156.6999969482422,266.5,357.4800109863281,330.45001220703125,494.1300048828125,167.92999267578125,43.52000045776367,58.08000183105469,138.99000549316406
23.780000686645508,176.27999877929688,29.8700008392334,334.69000244140625,157.25999450683594,273.1000061035156,360.5799865722656,335.239990234375,495.3800048828125,168.25,43.84000015258789,57.63999938964844,139.16000366210938
23.809999465942383,,,,,,,,,,,,
23.559999465942383,179.3800048828125,30.219999313354492,341.95001220703125,158.55999755859375,278.4200134277344,361.2900085449219,342.94000244140625,505.5799865722656,171.5500030517578,43.68000030517578,58.650001525878906,141.19000244140625
23.989999771118164,178.1999969482422,30.170000076293945,339.32000732421875,158.47999572753906,277.25,360.989990234375,344.3599853515625,504.42999267578125,172.30999755859375,43.400001525878906,58.470001220703125,141.0
24.049999237060547,177.57000732421875,30.149999618530273,336.32000732421875,158.35000610351562,276.2200012207031,359.32000732421875,336.3500061035156,502.1400146484375,171.07000732421875,43.400001525878906,58.25,140.74000549316406
23.809999465942383,179.6999969482422,31.81999969482422,329.010009765625,167.8300018310547,266.80999755859375,375.3900146484375,336.5299987792969,490.8999938964844,171.0800018310547,45.970001220703125,57.27000045776367,135.77000427246094
23.690000534057617,174.9199981689453,31.549999237060547,316.3800048828125,163.77999877929688,260.6499938964844,373.8999938964844,324.1700134277344,489.69000244140625,172.22000122070312,45.9900016784668,56.880001068115234,135.16000366210938
22.899999618530273,172.0,32.45000076293945,313.8800048828125,165.52000427246094,259.3299865722656,370.0,332.4599914550781,469.6499938964844,171.6300048828125,46.7400016784668,56.66999816894531,135.13999938964844
22.889999389648438,172.1699981689453,32.7400016784668,314.0400085449219,167.16000366210938,259.5,369.6499938964844,331.7900085449219,458.6000061035156,173.9499969482422,47.27000045776367,57.47999954223633,135.55999755859375
23.59000015258789,172.19000244140625,33.33000183105469,314.2699890136719,167.32000732421875,260.1099853515625,363.9100036621094,328.07000732421875,465.0,173.08999633789062,47.0099983215332,57.880001068115234,135.25999450683594
23.729999542236328,175.0800018310547,33.72999954223633,314.9800109863281,167.49000549316406,262.32000732421875,366.2900085449219,334.3699951171875,469.0,171.25,48.4900016784668,58.099998474121094,135.6999969482422
24.020000457763672,175.52999877929688,34.279998779296875,318.2699890136719,168.44000244140625,255.9199981689453,367.30999755859375,333.260009765625,473.7200012207031,169.7899932861328,49.29999923706055,58.400001525878906,133.72000122070312
23.559999465942383,172.19000244140625,35.0,304.79998779296875,168.22999572753906,249.6699981689453,369.5199890136719,326.4800109863281,467.42999267578125,168.75999450683594,49.2400016784668,58.099998474121094,129.64999389648438
23.440000534057617,173.07000732421875,35.349998474121094,310.20001220703125,157.88999938964844,244.1199951171875,372.1400146484375,331.8999938964844,468.69000244140625,167.83999633789062,50.04999923706055,58.849998474121094,128.16000366210938
23.489999771118164,,,,,,,,,,,,
23.239999771118164,169.8000030517578,35.029998779296875,302.6499938964844,151.27000427246094,247.07000732421875,366.29998779296875,318.1499938964844,460.989990234375,167.10000610351562,50.95000076293945,59.84000015258789,126.56999969482422
25.219999313354492,166.22999572753906,34.77000045776367,303.3299865722656,148.92999267578125,245.0500030517578,360.7300109863281,319.5899963378906,462.5199890136719,166.5800018310547,50.79999923706055,59.47999954223633,126.05000305175781
24.920000076293945,164.50999450683594,34.310001373291016,301.6000061035156,147.66000366210938,243.1300048828125,364.0,316.55999755859375,463.0,165.25,49.4900016784668,60.16999816894531,124.70999908447266
24.31999969482422,162.41000366210938,33.869998931884766,296.0299987792969,145.0800018310547,243.05999755859375,355.0799865722656,303.1700134277344,461.1700134277344,164.8699951171875,48.650001525878906,59.099998474121094,125.83000183105469
24.450000762939453,161.6199951171875,33.529998779296875,296.3699951171875,144.9499969482422,240.4199981689453,349.4200134277344,308.7099914550781,462.2699890136719,162.97000122070312,48.0,56.970001220703125,123.81999969482422
24.610000610351562,159.77999877929688,34.5,288.489990234375,146.52999877929688,239.4600067138672,338.760009765625,300.1499938964844,456.8399963378906,167.6300048828125,49.7400016784668,57.849998474121094,123.2699966430664
